NO,Area,Nama Site,ID Pelanggan,Site Type,Jumlah Phase,Koordinat,Daya Actual (W),Area Space(m2)
61,BALI NUSRA,17DPR0062_SEMINYAK_EP,17DPR0062,Outdoor,3,"lat= -8.6777311
lng= 115.1643909",4620,3
62,BALI NUSRA,17DPR0066_VIT_DRUPADI2_ST,17DPR0066,Outdoor,3,"lat= -8.68676003
lng= 115.16381970",2294,3
63,BALI NUSRA,17DPR0116_KEPALMENGWI_MT,17DPR0116,Outdoor,3,"lat= -8.53315711
lng= 115.17140950",2072,3
64,BALI NUSRA,17DPR0102_KUTAMERTAJATI_EP,17DPR0102,Outdoor,3,"lat= -8.73614669
lng= 115.16846268",6478,3
65,BALI NUSRA,17DPR0142_MENGWI_EP,17DPR0142,Indoor,3,"lat= -8.54773028
lng= 115.17505935",3152,8
66,BALI NUSRA,17DPR0166_VIP_IMISATTUBAN_EP,17DPR0166,Outdoor,3,"lat= -8.73585231
lng= 115.17869244",61,3
67,BALI NUSRA,17DPR0188_PANTAIPANDAWA_CM,17DPR0188,Outdoor,3,"lat= -8.84490286
lng= 115.18543373",1496,3
68,BALI NUSRA,17DPR0185_KELAN2_KN,17DPR0185,Indoor,3,"lat= -8.74453855
lng= 115.18070777",2915,12
69,BALI NUSRA,17DPR0200_PTI_LUKLUK_PL,17DPR0200,Outdoor,3,"lat= -8.59678016
lng= 115.18653652",2254,3
70,BALI NUSRA,17DPR0202_TAMANGRIYA_EP,17DPR0202,Outdoor,3,"lat= -8.78827068
lng= 115.18775503",3307,3
71,BALI NUSRA,17DPR0249_NUSADUAIM3_EP,17DPR0249,Outdoor,3,"lat= -8.79782086
lng= 115.22005282",5234,3
72,BALI NUSRA,17DPR0251_TANJUNG_DPR_PL,17DPR0251,Outdoor,3,"lat= -8.75778665
lng= 115.21999913",4248,3
73,BALI NUSRA,17DPS0022_GLOGORCARIKTBG_TB,17DPS0022,Outdoor,3,"lat= -8.70530128
lng= 115.18785829",3311,3
74,BALI NUSRA,17DPS0020_MI_PTI_PEMECUTAN_PL,17DPS0020,Outdoor,3,"lat= -8.69703406
lng= 115.18633978",0,3
75,BALI NUSRA,17DPS0048_GIK_IMAMBONJOL_GK,17DPS0048,Outdoor,3,"lat= -8.68845443
lng= 115.19463812",0,3
76,BALI NUSRA,17DPS0075_VIT_GATSUPIDADA_ST,17DPS0075,Outdoor,3,"lat= -8.63786896
lng= 115.20212841",2195,3
77,BALI NUSRA,17DPS0153_YANGBATU_XL,17DPS0153,Outdoor,3,"lat= -8.66629760
lng= 115.21944643",3703,3
78,BALI NUSRA,17DPS0153_YANGBATU_XL,17DPS0153,Outdoor,3,"lat= -8.66629760
lng= 115.21944643",3703,3
79,BALI NUSRA,17DPS0165_MI_PADANG_GADJAH_PL,17DPS0165,Outdoor,3,"lat= -8.69666749
lng= 115.22175046",2006,3
80,BALI NUSRA,17DPS0172_SESETAN_DPS1_EP,17DPS0172,Indoor,3,"lat= -8.69877463
lng= 115.22270787",5474,11
81,BALI NUSRA,17DPS0172_SESETAN_DPS1_EP,17DPS0172,Outdoor,3,"lat= -8.69872311
lng= 115.22269200",5474,3
82,BALI NUSRA,17DPS0177_PTI_BYPASSNGURAHRAI1_PL,17DPS0177,Outdoor,3,"lat= -8.71357055
lng= 115.22425948",1457,3
83,BALI NUSRA,17DPS0175_GIK_PENDIDIKAN_GK,17DPS0175,Outdoor,3,"lat= -8.70575986
lng= 115.22370461",2210,3
